player_name_norm,bpm,vorp
ochai agbaji,-4.0,-0.5
tyler kolek,-0.6,0.3
anthony edwards,4.5,3.5
micah peavy,-5.2,-0.7
kobe brown,-2.7,-0.2
jamison battle,-2.6,-0.1
marvin bagley,0.8,0.8
ryan nembhard,-4.1,-0.6
mitchell robinson,3.5,1.6
caris levert,-0.4,0.5
thomas bryant,0.1,0.4
jordan miller,0.2,0.8
moses moody,-0.1,0.7
mark williams,2.0,1.4
tre johnson,-5.0,-1.1
lebron james,3.5,2.8
tari eason,-1.6,0.2
dean wade,0.2,0.7
isaiah collier,-2.4,-0.2
robert williams,4.5,1.7
taylor hendricks,-2.4,-0.1
noah penda,-1.5,0.1
caleb martin,-2.2,0.0
corey kispert,-1.9,0.0
josh green,-0.7,0.3
isaiah stewart,0.0,0.7
norman powell,1.6,1.5
jalen suggs,2.5,1.8
rj barrett,0.2,1.0
ousmane dieng,-3.8,-0.5
jaden hardy,-4.8,-0.6
aaron holiday,-2.4,-0.1
julian strawther,-2.3,-0.1
jerami grant,0.0,0.9
andrew nembhard,-0.8,0.6
danny wolf,-2.5,-0.2
kris murray,-1.5,0.2
ajay mitchell,1.9,1.4
collin murrayboyles,1.0,1.0
ziaire williams,-1.7,0.1
bilal coulibaly,-2.1,-0.1
nolan traore,-6.8,-1.5
pj washington,-1.6,0.2
kenrich williams,0.2,0.5
herbert jones,-3.1,-0.5
tj mcconnell,2.5,1.1
john konchar,0.9,0.8
jarrett allen,2.6,1.8
alex caruso,1.9,1.0
dillon brooks,-2.3,-0.1
daniel gafford,0.7,0.8
gg jackson,-1.2,0.2
jett howard,-1.8,0.0
anthony gill,-2.6,-0.2
rasheer fleming,-3.8,-0.3
cam christie,-4.6,-0.3
isaiah jackson,-1.2,0.2
anfernee simons,-0.1,0.7
bennedict mathurin,-2.5,-0.2
jalen wilson,-5.6,-0.8
ariel hukporti,-2.3,0.0
peyton watson,-1.2,0.3
dalton knecht,-3.6,-0.2
cameron johnson,-0.6,0.6
jase richardson,-2.5,-0.1
mike conley,-1.3,0.2
josh giddey,2.7,2.0
keyonte george,0.9,1.3
jrue holiday,1.9,1.6
oliviermaxence prosper,-0.1,0.5
trayce jacksondavis,-0.4,0.2
tre mann,-5.3,-0.5
jalen smith,-0.7,0.4
trendon watford,-1.9,0.0
kasparas jakucionis,-0.4,0.4
jevon carter,-1.1,0.2
keaton wallace,-2.7,-0.1
gabe vincent,-4.3,-0.5
zeke nnaji,-3.5,-0.3
sam merrill,0.1,0.7
egor dmin,-1.6,0.1
michael porter,3.0,2.1
jonathan isaac,-1.6,0.1
jordan hawkins,-6.2,-0.7
buddy hield,-1.0,0.2
austin reaves,2.8,2.1
landry shamet,-0.3,0.5
grayson allen,2.1,1.5
kentavious caldwellpope,-2.5,-0.1
shaedon sharpe,-1.4,0.2
coby white,-1.3,0.2
derrick jones,-0.7,0.5
tyrese proctor,-2.8,-0.1
svi mykhailiuk,-1.7,0.1
kelly oubre,-1.4,0.2
jalen pickett,-2.3,-0.1
jamir watkins,-3.3,-0.3
quenton jackson,-1.8,0.0
caleb love,-3.1,-0.3
josh minott,2.5,1.0
tristan vukcevic,0.0,0.3
deanthony melton,-2.5,-0.1
jaren jackson,-0.6,0.5
aj johnson,-8.9,-0.8
dalen terry,-1.7,0.0
gary harris,-2.5,-0.1
nick richards,-6.1,-0.7
ivica zubac,-0.3,0.6
julian phillips,-3.6,-0.2
kyshawn george,-1.2,0.3
andre jackson,-7.1,-0.5
alex sarr,0.7,0.9
nikola jovic,-3.5,-0.3
micah potter,0.7,0.6
isaiah hartenstein,4.2,1.8
pete nance,-2.3,-0.1
jamaree bouyea,-0.4,0.3
jakob poeltl,1.6,1.0
